,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,E06,SYBR,,Std-11,,Day 14,28.2748509753305,28.6846381345086,0.784323561843184,1,0,1,0,60,
,F06,SYBR,,Std-11,,Day 14,28.4083872022187,28.6846381345086,0.784323561843184,1,0,1,0,60,
,B12,SYBR,,Std-12,,Day 14,27.6232501448329,28.5347942598996,0.619916256671702,1,0,1,0,60,
,C12,SYBR,,Std-12,,Day 14,29.2296658920459,28.5347942598996,0.619916256671702,1,0,1,0,60,
,D12,SYBR,,Std-12,,Day 14,28.6341624259004,28.5347942598996,0.619916256671702,1,0,1,0,60,
,E12,SYBR,,Std-12,,Day 14,28.9149049837069,28.5347942598996,0.619916256671702,1,0,1,0,60,
,F12,SYBR,,Std-12,,Day 14,28.2719878530118,28.5347942598996,0.619916256671702,1,0,1,0,60,
,G02,SYBR,,Std-13,,Day 21,27.9919402144767,28.0170227150946,0.171379093208042,1,0,1,0,60,
,G03,SYBR,,Std-13,,Day 21,28.1257359595464,28.0170227150946,0.171379093208042,1,0,1,0,60,
,G04,SYBR,,Std-13,,Day 21,27.947058796516,28.0170227150946,0.171379093208042,1,0,1,0,60,
,G05,SYBR,,Std-13,,Day 21,28.2338487892315,28.0170227150946,0.171379093208042,1,0,1,0,60,
,G06,SYBR,,Std-13,,Day 21,27.7865298157023,28.0170227150946,0.171379093208042,1,0,1,0,60,
,G07,SYBR,,Std-14,,Day 21,27.0653369336279,27.6788955752516,0.472331158218039,1,0,1,0,60,
,G08,SYBR,,Std-14,,Day 21,28.1160490451276,27.6788955752516,0.472331158218039,1,0,1,0,60,
,G09,SYBR,,Std-14,,Day 21,27.3705352900624,27.6788955752516,0.472331158218039,1,0,1,0,60,
,G10,SYBR,,Std-14,,Day 21,28.158179854535,27.6788955752516,0.472331158218039,1,0,1,0,60,
,G11,SYBR,,Std-14,,Day 21,27.6843767529051,27.6788955752516,0.472331158218039,1,0,1,0,60,
